id,screen_name,latitude,longitude,lang,in_reply_to_status_id,text,url,timestamp,conversation_id,conversation_deep,num_replies,num_users,affected,missing,evacuation,infrastructure,need,offer,precaution,emotional,other,comment
7.22E+17,Floratil_1,,,es,7.22E+17,@DomenicaMena Es necesario conservar la calma con las #replicas hermanos de #Ecuador y #Colombia,https://www.twitter.com/Floratil_1/status/721553260222509056,4/17/2016 4:17,7.22E+17,2,3,3,,,,,0,0,,1,,
7.22E+17,DomenicaMena,,,es,,"Linternas, termos de agua, enlatados, una parada de ropa y dinero en un bolso #Ecuador precauciones ante posibles réplicas... #terremoto",https://www.twitter.com/DomenicaMena/status/721551001447047168,4/17/2016 4:08,7.22E+17,1,3,3,,,,,0,0,1,0,,
7.22E+17,FerchoVillacis8,,,es,7.22E+17,@Claritta61 @MashiRafael vacaciones????? Por favor ya basta la farsa. Vaya a ayudar o a donar algo en vez de joder,https://www.twitter.com/FerchoVillacis8/status/721705309190909952,4/17/2016 14:22,7.22E+17,3,3,3,,,,,0,0,,0,,
7.22E+17,Claritta61,,,es,7.22E+17,"@elnuevoherald y su ""Presidente"" @MashiRafael de vacaciones aquí en #Roma escondido bajo la sotana de @Pontifex_it #EcuadorEarthquake",https://www.twitter.com/Claritta61/status/721674231788998656,4/17/2016 12:18,7.22E+17,2,3,3,,,,,0,0,,0,,
7.22E+17,elnuevoherald,,,es,,#Ecuador aturdido luego de terremoto que dejó 77 muertos https://t.co/HE0R2rk6v1 https://t.co/1Xc3Dazp5Y,https://www.twitter.com/elnuevoherald/status/721672755788320768,4/17/2016 12:12,7.22E+17,1,3,3,1,,,,0,0,,0,,
7.22E+17,MiguelAMoreiraC,,,es,,"El Distrito Priorizado Jama-Pedernales, de los más afectados en el terremoto de #Ecuador. Al momento van 41 muertos y se sigue contando.",https://www.twitter.com/MiguelAMoreiraC/status/721621414286094336,4/17/2016 8:48,7.22E+17,1,6,2,1,,,,0,0,,0,,
7.22E+17,KAZUSAMA10,,,es,7.22E+17,@mmoreiracedeno chuta :$ la ayuda aun no les llega?,https://www.twitter.com/KAZUSAMA10/status/721622611453730816,4/17/2016 8:53,7.22E+17,4,6,2,,,,,0,0,,0,,
7.22E+17,MiguelAMoreiraC,,,es,7.22E+17,"77 muertos confirmados a nivel de #Ecuador estimado @KAZUSAMA10.  41 en la población de #Pedernales, #Manabí.",https://www.twitter.com/MiguelAMoreiraC/status/721622394138439680,4/17/2016 8:52,7.22E+17,3,6,2,1,,,,0,0,,0,,
7.22E+17,KAZUSAMA10,,,es,7.22E+17,@mmoreiracedeno 77 muertos confirmados mi amigo,https://www.twitter.com/KAZUSAMA10/status/721621860945768448,4/17/2016 8:50,7.22E+17,2,6,2,1,,,,0,0,,0,,
7.22E+17,KAZUSAMA10,,,es,7.22E+17,"@mmoreiracedeno @jorgesarchez que horrible, gracias por mantener informado",https://www.twitter.com/KAZUSAMA10/status/721623444920655872,4/17/2016 8:56,7.22E+17,6,6,2,,,,,0,0,,1,,
7.22E+17,MiguelAMoreiraC,,,es,7.22E+17,"No tienen ayuda aún, me confirma @jorgesarchez periodista de #Pedernales que la ayuda aún no llega, están aislados @KAZUSAMA10.",https://www.twitter.com/MiguelAMoreiraC/status/721623225822789632,4/17/2016 8:55,7.22E+17,5,6,2,,,,,0,0,,0,1,
7.22E+17,RJUEMCVIDA,,,es,7.22E+17,"@tinocotania Es  momento de union. primero el ser Humano. luego lo Economico y Politico,",https://www.twitter.com/RJUEMCVIDA/status/721706261805408257,4/17/2016 14:25,7.22E+17,2,13,12,,,,,0,0,,1,,
